Area,Item,Year,Export_V(1000USD),Import_V(1000USD)
Cambodia,"Onions, dry",2009,,0.0
Cambodia,"Onions, dry",2010,,0.0
Cambodia,"Onions, dry",2011,6.0,4.0
Cambodia,"Onions, dry",2012,0.0,0.0
Cambodia,"Onions, dry",2013,0.0,42.0
Cambodia,"Onions, dry",2017,7.0,117.0
Cambodia,"Onions, dry",2018,94.0,10.0
Cambodia,"Onions, shallots, green",2017,3.0,68.0
Cambodia,"Onions, shallots, green",2018,6.0,686.0
Cambodia,"Rice, paddy",2008,,0.0
Cambodia,"Rice, paddy",2009,,0.0
Cambodia,"Rice, paddy",2010,,0.0
Cambodia,"Rice, paddy",2011,556.0,0.0
Cambodia,"Rice, paddy",2012,0.0,60.0
Cambodia,"Rice, paddy",2013,13.0,18.0
Cambodia,"Rice, paddy",2015,89.0,20.0
Cambodia,"Rice, paddy",2017,1291.0,0.0
Indonesia,Bananas,2008,989.0,66.0
Indonesia,Bananas,2009,200.0,349.0
Indonesia,Bananas,2010,48.0,1566.0
Indonesia,Bananas,2011,1012.0,850.0
Indonesia,Bananas,2012,56.0,845.0
Indonesia,Bananas,2013,128.0,266.0
Indonesia,Bananas,2014,174.0,261.0
Indonesia,Bananas,2018,7875.0,16.0
Indonesia,"Eggs, hen, in shell",2008,18.0,85.0
Indonesia,"Eggs, hen, in shell",2009,32.0,11.0
Indonesia,"Eggs, hen, in shell",2010,29.0,17.0
Indonesia,"Eggs, hen, in shell",2011,3.0,0.0
Indonesia,"Eggs, hen, in shell",2012,9.0,0.0
Indonesia,"Eggs, hen, in shell",2013,0.0,0.0
Indonesia,"Eggs, hen, in shell",2015,105.0,148.0
Indonesia,"Eggs, hen, in shell",2016,1804.0,100.0
Indonesia,"Eggs, hen, in shell",2018,776.0,0.0
Indonesia,Garlic,2008,3.0,152497.0
Indonesia,Garlic,2009,41.0,166372.0
Indonesia,Garlic,2010,76.0,245960.0
Indonesia,Garlic,2011,58.0,272819.0
Indonesia,Garlic,2012,62.0,242342.0
Indonesia,Garlic,2013,17.0,360859.0
Indonesia,Garlic,2014,81.0,349578.0
Indonesia,Garlic,2015,53.0,342673.0
Indonesia,Garlic,2016,182.0,436088.0
Indonesia,Garlic,2017,685.0,589593.0
Indonesia,Garlic,2018,10.0,497259.0
Indonesia,Maize,2008,28906.0,94032.0
Indonesia,Maize,2009,14742.0,77841.0
Indonesia,Maize,2010,11321.0,369076.0
Indonesia,Maize,2011,9464.0,1028527.0
Indonesia,Maize,2012,19018.0,501898.0
Indonesia,Maize,2013,10643.0,918890.0
Indonesia,Maize,2014,13264.0,810417.0
Indonesia,Maize,2015,56365.0,696647.0
Indonesia,Maize,2016,5022.0,230923.0
Indonesia,Maize,2017,1060.0,156719.0
