Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2017","2017","tonnes","1486","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1058","Meat, chicken","2018","2018","tonnes","1328","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2000","2000","tonnes","60","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2001","2001","tonnes","30","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2002","2002","tonnes","55","*","Unofficial figure"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2003","2003","tonnes","36","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2004","2004","tonnes","35","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2005","2005","tonnes","27","","Official data"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2006","2006","tonnes","105","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2007","2007","tonnes","127","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2008","2008","tonnes","0","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2009","2009","tonnes","24","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2010","2010","tonnes","0","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2011","2011","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2012","2012","tonnes","1","R","Estimated data using trading partners database"
"TP","Crops and livestock products","26","Brunei Darussalam","5610","Import Quantity","1069","Meat, duck","2013","2013","tonnes","75","","Official data"
